30;hakkari        ;910;655;1489;425;1164;1348;1458;755;1791;1813;1649;492;325;1536;1559;1720;2000;1379;1255;1672;484;2031;632;795;607;1568;694;963;805;0;889;1529;979;1799;1818;554;1415;1030;2008;1165;1688;1268;1586;727;1797;772;389;1768;381;1113;1120;1008;855;1651;1155;292;1318;973;1930;1076;906;634;548;1601;197;1193;1630;1179;729;1203;1274;375;192;1595;641;419;1754;1530;749;817;1583
31;hatay          ;196;317;776;957;681;689;745;983;1078;1100;983;612;724;885;846;1054;1293;783;718;959;516;1380;474;755;788;887;195;798;858;889;0;816;266;1148;1104;993;889;434;1356;569;1037;555;872;376;1083;176;528;1054;722;484;407;785;995;1000;810;700;936;506;1278;570;917;609;333;888;884;633;961;465;879;490;678;613;699;981;1018;1060;1102;911;146;128;932
32;isparta        ;619;957;167;1373;719;423;131;1348;288;395;353;1139;1330;563;30;424;591;566;628;169;1150;828;1001;1008;1193;302;835;992;1111;1529;816;0;565;596;391;1396;671;563;804;495;485;266;242;903;370;817;1168;271;1248;484;504;947;1200;448;800;1337;843;759;726;768;1122;1131;974;171;1464;603;630;408;1132;380;459;1250;1339;685;1414;1517;487;615;871;708;516
33;mersin         ;69;407;572;1047;638;485;468;1074;813;896;779;703;815;681;576;850;1089;583;575;689;607;1176;565;746;879;683;285;790;850;979;266;565;0;944;900;1083;689;328;1152;370;833;351;668;467;879;267;619;777;812;280;203;777;987;796;747;790;861;497;1074;562;908;700;424;684;974;483;757;261;871;234;479;703;789;777;1108;1151;898;707;321;158;728
34;istanbul       ;951;1189;450;1408;674;453;716;1284;680;391;248;1340;1531;263;594;244;316;495;612;649;1351;232;1202;1043;1229;323;1105;927;1086;1799;1148;596;944;0;564;1431;509;767;209;634;113;676;354;1104;527;1029;1438;792;1449;726;809;882;1136;148;735;1538;690;892;131;785;1057;1167;1243;492;1636;665;330;683;1126;790;525;1451;1609;418;1393;1552;178;396;1168;1040;216
35;izmir          ;908;1246;329;1649;925;584;449;1554;128;175;430;1427;1618;604;390;325;330;727;833;228;1439;549;1290;1284;1469;414;1124;1197;1356;1818;1104;391;900;564;0;1672;832;852;563;754;452;555;335;1191;37;1106;1457;227;1537;773;793;1152;1405;489;1005;1626;1004;1035;499;974;1327;1407;1263;217;1753;808;671;697;1408;668;667;1538;1628;759;1690;1793;389;738;1160;997;557
36;kars           ;1014;727;1343;214;762;1078;1448;203;1658;1599;1383;382;447;1168;1426;1440;1716;1009;854;1539;520;1663;522;393;205;1321;859;561;403;554;993;1396;1083;1431;1672;0;1013;839;1640;963;1321;1134;1400;617;1650;839;615;1681;352;911;962;606;344;1283;753;543;916;640;1562;697;422;441;697;1455;357;864;1228;987;327;1136;1007;580;639;1193;89;135;1386;1128;897;921;1215
37;kastamonu      ;696;875;504;990;255;237;791;846;844;677;461;892;1083;247;670;518;795;106;193;725;961;741;792;625;810;482;791;489;648;1415;889;671;689;509;832;1013;0;452;718;319;399;460;567;713;811;715;1056;867;1001;412;495;444;698;361;298;1148;182;475;640;366;619;748;929;616;1218;298;213;428;724;571;210;1061;1254;181;955;1134;464;113;854;786;293
38;kayseri        ;335;421;523;816;344;316;616;823;825;848;616;571;762;504;593;688;967;347;281;706;582;999;433;451;636;536;336;494;554;1030;434;563;328;767;852;839;452;0;975;133;656;302;620;335;831;261;669;849;681;79;130;482;692;619;453;769;545;202;897;267;613;574;475;635;897;197;580;155;575;304;242;682;840;600;857;960;721;530;400;363;550
39;kirklareli     ;1160;1398;659;1617;882;661;924;1493;684;433;457;1548;1740;471;803;443;246;704;821;717;1560;68;1411;1252;1438;532;1314;1136;1295;2008;1356;804;1152;209;563;1640;718;975;0;842;321;885;562;1312;570;1238;1647;783;1658;935;1018;1091;1345;357;944;1747;898;1101;124;993;1266;1375;1452;656;1845;874;538;891;1334;999;733;1659;1817;626;1602;1761;386;605;1377;1249;425
40;kirsehir       ;377;556;425;940;313;183;570;942;765;706;484;706;897;371;591;555;834;214;221;646;717;866;568;575;761;403;471;585;679;1165;569;495;370;634;754;963;319;133;842;0;523;256;482;470;733;396;804;789;816;93;175;540;793;486;393;904;491;326;764;332;715;699;610;537;1032;113;447;109;700;321;109;817;975;467;982;1084;588;397;535;466;418
41;kocaeli        ;841;1079;340;1298;563;342;605;1174;567;278;137;1229;1420;152;484;131;396;385;501;539;1241;345;1092;933;1118;213;994;817;976;1688;1037;485;833;113;452;1321;399;656;321;523;0;566;243;993;415;919;1328;681;1339;616;699;772;1025;37;625;1428;579;782;243;674;947;1056;1133;382;1526;555;219;572;1015;680;414;1340;1498;307;1283;1442;65;286;1058;930;106
42;konya          ;358;696;226;1112;510;259;321;1119;528;550;433;877;1069;455;296;504;744;354;419;409;889;909;740;747;932;338;574;782;850;1268;555;266;351;676;555;1134;460;302;885;256;566;0;323;641;534;556;907;552;987;223;243;737;991;529;590;1076;632;498;807;559;912;870;713;338;1203;369;531;147;871;119;249;989;1078;551;1153;1256;568;481;610;447;501
43;kutahya        ;676;1014;97;1377;653;312;362;1282;415;227;110;1195;1386;321;241;182;421;455;561;296;1207;586;1058;1012;1197;79;892;925;1084;1586;872;242;668;354;335;1400;567;620;562;482;243;323;0;959;314;873;1225;438;1305;541;561;880;1134;206;733;1394;748;763;484;702;1055;1135;1030;138;1521;536;388;465;1136;436;395;1306;1396;476;1418;1521;245;454;928;765;274
44;malatya        ;397;186;863;587;460;653;955;607;1165;1176;953;236;427;841;932;1025;1304;684;527;1046;247;1336;98;362;412;873;242;538;492;727;376;903;467;1104;1191;617;713;335;1312;470;993;641;959;0;1170;222;342;1188;346;418;469;564;663;956;589;434;715;246;1234;349;594;233;269;975;562;466;917;494;490;643;579;347;541;894;642;730;1058;829;305;304;887
45;manisa         ;887;1224;308;1628;903;563;428;1532;152;139;393;1406;1597;567;369;289;331;706;812;207;1418;556;1268;1263;1448;393;1103;1176;1334;1797;1083;370;879;527;37;1650;811;831;570;733;415;534;314;1170;0;1084;1436;251;1516;752;772;1131;1384;452;984;1604;983;1014;506;952;1306;1386;1241;196;1732;787;634;676;1387;647;646;1517;1607;722;1669;1772;353;701;1139;976;521
46;kahramanmaras  ;198;163;777;809;508;579;746;830;1079;1101;879;458;577;767;847;951;1230;609;544;960;369;1261;321;581;634;799;78;624;684;772;176;817;267;1029;1106;839;715;261;1238;396;919;556;873;222;1084;0;411;1056;568;344;395;612;822;882;637;552;762;332;1160;397;743;456;217;889;736;460;843;420;705;491;505;465;582;862;864;913;984;792;142;105;813
47;mardin         ;549;295;1128;514;802;987;1098;606;1430;1453;1288;236;282;1175;1198;1360;1639;1018;870;1311;95;1670;247;502;410;1208;333;769;611;389;528;1168;619;1438;1457;615;1056;669;1647;804;1328;907;1225;342;1436;411;0;1407;363;752;759;814;661;1290;931;235;1057;588;1569;691;713;373;188;1240;441;808;1252;818;535;842;913;148;199;1236;640;617;1393;1171;388;456;1222
48;mugla          ;858;1196;364;1658;959;619;310;1588;98;390;549;1424;1615;759;241;540;550;762;868;145;1396;769;1286;1293;1479;498;1074;1232;1390;1768;1054;271;777;792;227;1681;867;849;783;789;681;552;438;1188;251;1056;1407;0;1534;770;790;1187;1440;644;1040;1579;1039;1045;719;1008;1362;1417;1213;296;1750;843;826;694;1418;665;702;1492;1578;882;1700;1802;604;812;1110;947;712
49;mus            ;743;456;1208;241;751;999;1301;465;1510;1522;1299;111;81;1187;1278;1371;1650;1029;873;1391;249;1681;251;382;270;1219;587;629;471;381;722;1248;812;1449;1537;352;1001;681;1658;816;1339;987;1305;346;1516;568;363;1534;0;764;815;674;521;1302;828;177;972;591;1580;695;572;253;426;1320;216;812;1217;840;395;988;925;215;273;1182;408;385;1404;1117;626;650;1233
50;nevsehir       ;288;504;444;889;358;275;537;896;746;769;576;654;845;464;514;648;927;306;295;628;665;958;516;523;709;496;419;567;627;1113;484;484;280;726;773;911;412;79;935;93;616;223;541;418;752;344;752;770;764;0;83;614;764;578;467;852;584;275;857;339;685;647;558;557;980;206;540;76;648;256;202;765;923;559;930;1032;681;489;483;377;510
51;nigde          ;210;548;464;940;440;340;545;947;766;788;638;705;896;546;534;710;982;389;377;647;717;1041;568;575;760;558;426;618;678;1120;407;504;203;809;793;962;495;130;1018;175;699;243;561;469;772;395;759;790;815;83;0;605;815;661;549;904;666;326;940;390;737;698;565;576;1031;288;623;116;699;178;284;816;930;642;981;1084;764;572;462;299;593
